,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
5610,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,heft
5611,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,exposit
5612,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,niggard
5613,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,enforce
5614,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,consular
5615,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,trouble
5616,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,energy
5617,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,0.0,seller
5618,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,imagination
5619,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,youse
5620,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,based
5621,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,national
5622,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,agency
5623,1.0,1.0,1.0,9.0,8.0,1.0,18.0,0.5,0.4444444444444444,0.05555555555555555,face
5624,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,sermon
5625,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4/The
5626,1.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,ananym
5627,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,swear
5628,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,Celeste
5629,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,150+
5630,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,0.0,Bedford
5631,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,spend
5632,0.0,1.0,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,election
5633,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2015-16
5634,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,pressel
5635,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,sister
5636,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,groomling
5637,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,salary
5638,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nursing
5639,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,Edda
5640,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,split
5641,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,advisor
5642,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,curb
5643,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,dropsy
5644,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,Shrine
5645,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,Chara
5646,1.0,0.0,1.0,1.0,0.0,4.0,5.0,0.2,0.0,0.8,killing
5647,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,shoehorn
5648,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,league
5649,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nohow
5650,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,sending
5651,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,blast
5652,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,profit
5653,1.0,0.0,1.0,2.0,0.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,Jamie
5654,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.3333333333333333,0.0,0.6666666666666666,beauty
5655,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,waving
5656,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,overdramatic
5657,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,eventime
5658,1.0,1.0,1.0,4.0,2.0,55.0,61.0,0.06557377049180328,0.03278688524590164,0.9016393442622951,week
5659,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,0.0,staff
5660,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,Prakash
5661,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,brogger
5662,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,Dada
5663,1.0,0.0,1.0,1.0,0.0,4.0,5.0,0.2,0.0,0.8,crazy
5664,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,0.0,justifier
5665,1.0,1.0,1.0,7.0,2.0,6.0,15.0,0.4666666666666667,0.13333333333333333,0.4,girl
5666,1.0,1.0,1.0,8.0,4.0,3.0,15.0,0.5333333333333333,0.26666666666666666,0.2,trying
5667,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,jabul
5668,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bedouinism
5669,0.0,1.0,0.0,0.0,36.0,0.0,36.0,0.0,1.0,0.0,gove
5670,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,yurt
5671,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.3333333333333333,0.0,0.6666666666666666,mention
5672,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,banner
5673,1.0,1.0,1.0,22.0,5.0,21.0,48.0,0.4583333333333333,0.10416666666666667,0.4375,Wea
5674,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,female
5675,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,platform
5676,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,jungle
5677,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,824000
5678,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Nigel
5679,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,crisp
5680,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,magic
5681,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,recline
5682,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,chapter
5683,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Aquitanian
5684,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,aid
