,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
172,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.6666666666666666,0.3333333333333333,rescue
173,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,0.0,Puritan
174,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,Abo
175,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Psidium
176,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,almon
177,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,syndrome
178,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,clue
179,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,huge
180,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,publisher
181,0.0,1.0,1.0,0.0,3.0,1.0,4.0,0.0,0.75,0.25,European
182,1.0,1.0,1.0,12.0,9.0,1.0,22.0,0.5454545454545454,0.4090909090909091,0.045454545454545456,hold
183,1.0,1.0,1.0,2.0,2.0,1.0,5.0,0.4,0.4,0.2,access
184,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,.30
185,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,robe
186,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Frieda
187,1.0,1.0,0.0,1.0,4.0,0.0,5.0,0.2,0.8,0.0,fight
188,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,wi
189,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,opah
190,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,occasion
191,1.0,1.0,1.0,13.0,21.0,7.0,41.0,0.3170731707317073,0.5121951219512195,0.17073170731707318,3
192,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,ruckus
193,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,controversy
194,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,papmeat
195,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,chord
196,1.0,1.0,1.0,16.0,4.0,8.0,28.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,thing
197,0.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.8,0.2,train
198,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,keynote
199,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,lifetime
200,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,vow
201,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,Boothian
202,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,venue
203,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,salad
204,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,nail
205,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,depict
206,1.0,0.0,1.0,1.0,0.0,25.0,26.0,0.038461538461538464,0.0,0.9615384615384616,Helot
207,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Boney
208,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.5,31
209,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.3333333333333333,0.6666666666666666,needer
210,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,recipe
211,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,origin
212,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,March
213,1.0,1.0,0.0,2.0,1.0,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0,theory
214,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Zabaean
215,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,fog
216,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,fleet
217,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,markup
218,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,debby
219,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Jaina
220,1.0,1.0,1.0,2.0,2.0,1.0,5.0,0.4,0.4,0.2,development
221,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Garrya
222,1.0,1.0,0.0,2.0,2.0,0.0,4.0,0.5,0.5,0.0,.11
223,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,inspiring
224,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,'slaps
225,1.0,1.0,1.0,15.0,20.0,10.0,45.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,No
226,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,Aira
227,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,impartial
228,1.0,1.0,1.0,3.0,1.0,2.0,6.0,0.5,0.16666666666666666,0.3333333333333333,dress
229,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,hing
230,0.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.8,0.2,politics
231,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,begani
232,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Senci
233,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Rashti
234,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Mura
235,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,gat
236,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Downing
237,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Maurice
238,1.0,1.0,1.0,2.0,6.0,2.0,10.0,0.2,0.6,0.2,story
239,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,.32
240,1.0,1.0,1.0,4.0,3.0,2.0,9.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,early
241,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,paramilitary
242,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,cain
243,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Bhumij
244,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,kmet
245,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,:30
246,1.0,1.0,1.0,2.0,2.0,2.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,wanter
247,0.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,0.5,0.5,enter
248,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,grow
249,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,lower
250,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,boltmaker
251,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Sinto
252,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,integral
253,1.0,0.0,1.0,4.0,0.0,1.0,5.0,0.8,0.0,0.2,Sam
254,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,popple
255,0.0,1.0,1.0,0.0,13.0,1.0,14.0,0.0,0.9285714285714286,0.07142857142857142,law
256,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,jina
257,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,healthy
258,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,bronchitis
259,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,performance
260,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,homework
261,1.0,1.0,1.0,1.0,2.0,3.0,6.0,0.16666666666666666,0.3333333333333333,0.5,far
262,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Starbuck
263,1.0,1.0,1.0,2.0,1.0,2.0,5.0,0.4,0.2,0.4,mind
264,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,battle
265,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,kop
266,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,functionary
267,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,respect
268,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,Kyle
269,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,got
270,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Gerasene
271,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,cuddle
272,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Hon
273,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,Predentata
274,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,telecode
275,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,impeachment
276,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,nose
277,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Larnaudian
278,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Branchiosaurus
279,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,Italianation
280,1.0,1.0,1.0,7.0,4.0,3.0,14.0,0.5,0.2857142857142857,0.21428571428571427,.4
281,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,puppet
282,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,festivity
283,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,notification
284,1.0,1.0,1.0,8.0,4.0,4.0,16.0,0.5,0.25,0.25,bad
285,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,gif
286,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,evacuate
